X,Y,OBJECTID,TYPE,SCHOOL,ADDRESS,SE_ANNO_CAD_DATA,NAME,GRADE,CITY,ZIP,PHONE,WEBSITE,XCOORD,YCOORD,SITE_USE,PRJ_ENRLLMNT
1254433.86998539,210195.879930556,1,Elementary,GENESEE HILL BLDG,5013 SW Dakota St,,Genesee Hill,K-5,Seattle,98116,(206)252-9700,http://geneseehilles.seattleschools.org/,-122.39688854,47.56549257,Active,
1277786.25996031,267449.850068048,2,Elementary,OLYMPIC HILLS ELEM,13018 20th Ave NE,,Olympic Hills,K-5,Seattle,98125,(206)413-2200,http://olympichillses.seattleschools.org/,-122.30675545,47.72368616,Active,
1272100.02002047,250272.030093044,3,Elementary,GREENLAKE ELEM,2400 N 65th St,,Green Lake,K-5,Seattle,98103,(206)252-5320,http://greenlakees.seattleschools.org/,-122.32849786,47.67630161,Active,
1260155.07015714,257968.809975058,4,Middle School,WHITMAN MIDDLE SCHOOL,9201 15th Ave NW,,Whitman,6-8,Seattle,98117,(206)252-1200,http://whitmanms.seattleschools.org/,-122.37760192,47.69675145,Active,
1251820.84010647,214499.249932721,5,Elementary,ALKI ELEM,3010 59th Ave SW,,Alki,K-5,Seattle,98116,(206)252-9050,http://alkies.seattleschools.org/,-122.40782717,47.57714172,Active,
1256919.88010523,215254.310102388,6,Elementary,LAFAYETTE ELEM,2645 California Ave SW,,Lafayette,K-5,Seattle,98116,(206)252-9500,http://lafayettees.seattleschools.org/,-122.38723455,47.5794954,Active,
1274037.94002914,258235.330111295,7,Elementary,OLYMPIC VIEW ELEM,504 NE 95th St,,Olympic View,K-5,Seattle,98115,(206)252-5500,http://olympicviewes.seattleschools.org/,-122.32125787,47.69823172,Active,
1265436.01366347,230618.329243049,8,Option High School,SEATTLE CENTER – CENTER HOUSE,305 Harrison St,,The Center School,9-12,Seattle,98109,(206)252-9850,http://centerhs.seattleschools.org/,-122.35396682,47.62207365,Active,
1264429.86016397,254418.429936722,9,Elementary,GREENWOOD ELEM,144 NW 80th St,,Greenwood,K-5,Seattle,98117,(206)252-1400,http://greenwoodes.seattleschools.org/,-122.3599603,47.6872539,Active,
1280925.79009856,226729.750077963,10,Elementary,MADRONA,1121 33rd Ave,,Madrona,K-5,Seattle,98122,(206)252-3100,http://madronak8.seattleschools.org/,-122.29086891,47.61223678,Active,
1274823.0001388,205005.7298778,11,Option High School,CLEVELAND HIGH SCHOOL,5511 15th Ave S,,Cleveland,9-12,Seattle,98108,(206)252-7800,http://clevelandhs.seattleschools.org/,-122.31391191,47.55237206,Active,
1275769.47987315,263746.86009872,12,Option Elementary,PINEHURST,11530 12th Ave NE,,Hazel Wolf K-8,K-8,Seattle,98125,(206)252-4610,http://hazelwolfk8.seattleschools.org/,-122.31465834,47.71343023,Active,
1265680.67393531,234243.291153222,13,NonStandard,QUEEN ANNE GYM,1431 2nd Ave N,,Queen Anne Gym,,Seattle,98109,,,-122.35326522,47.63202275,Active,
1283467.51861089,253486.15489839,14,Elementary,DECATUR BLDG/DS-2,7711 43rd Ave NE,,Decatur,1-5,Seattle,98115,(206)252-3230,https://decatures.seattleschools.org/,-122.28260879,47.68570761,Active,
1262701.86001106,237401.020073965,15,Elementary,COE ELEM,2424 7th Ave W,,Coe,K-5,Seattle,98119,(206)252-2000,http://coees.seattleschools.org/,-122.36559911,47.64051599,Active,
1284210.54993322,205705.440092549,16,Option Elementary,WHITWORTH ELEM,5215 46th Ave S,,Orca K-8,K-8,Seattle,98118,(206)252-6900,http://orcak8.seattleschools.org/,-122.27595642,47.55477873,Active,
1268771.17005089,254005.600053713,17,Elementary,DANIEL BAGLEY ELEM,7821 Stone Ave N,,Daniel Bagley,K-5,Seattle,98103,(206)252-5110,https://bagleyes.seattleschools.org/,-122.34230487,47.68635707,Active,
1283885.5000584,200955.799985558,18,Elementary,BRIGHTON ELEM,6725 45th Ave S,,Martin Luther King Jr,K-5,Seattle,98118,(206)252-6770,http://kinges.seattleschools.org/,-122.27691176,47.54174321,Active,
1272923.56988256,237846.300023302,19,Option Elementary,SEWARD BLDG,2500  Franklin Ave E,,TOPS K-8,K-8,Seattle,98102,(206)252-3510,http://topsk8.seattleschools.org/,-122.32417847,47.64228686,Active,
1257819.37010415,257367.530009627,20,Elementary,NORTH BEACH ELEM,9018 24th Ave NW,,North Beach,K-5,Seattle,98117,(206)252-1510,http://northbeaches.seattleschools.org/,-122.3870355,47.69497451,Active,
1279989.24013439,213486.24014771,21,High School,FRANKLIN HIGH SCHOOL,3013 S Mt Baker Blvd,,Franklin,9-12,Seattle,98144,(206)252-6150,http://franklinhs.seattleschools.org/,-122.2936464,47.57588767,Active,
1288231.26006764,248998.630080804,22,Elementary,SAND POINT BLDG,6208 60th Ave NE,,Sand Point,K-5,Seattle,98115,(206)252-4640,http://sandpointes.seattleschools.org/,-122.26293322,47.67365155,Active,
1266143.11001831,195253.180157214,24,Elementary,HIGHLAND PARK ELEM,1012 SW Trenton St,,Highland Park,K-5,Seattle,98106,(206)252-8240,http://highlandparkes.seattleschools.org/,-122.34827729,47.5251775,Active,
1285981.6198819,202381.050087795,25,Elementary,GRAHAM HILL ELEM,5149 S Graham St,,Graham Hill,K-5,Seattle,98118,(206)252-7140,http://grahamhilles.seattleschools.org/,-122.26853425,47.54575731,Active,
1263746.12006164,248355.779988557,27,Elementary,WEST WOODLAND ELEM,5601 4th Ave NW,,West Woodland,K-5,Seattle,98107,(206)252-1600,http://westwoodlandes.seattleschools.org/,-122.36224678,47.6705993,Active,
1282535.49947757,268133.753883973,28,Option Elementary,CEDAR PARK BLDG,3737 NE 135th St,,Cedar Park,K-5,Seattle,98125,(206)252-4300,http://cedarparkes.seattleschools.org/,-122.2875157,47.72580837,Active,
1288216.76993914,191052.880158886,29,Elementary,EMERSON ELEM,9709 60th Ave S,,Emerson,K-5,Seattle,98118,(206)252-7100,http://emersones.seattleschools.org/,-122.25863615,47.51482047,Active,
1281835.63014239,196979.82991913,30,Elementary,WING LUKE ELEM,3701 S Kenyon St,,Wing Luke,K-5,Seattle,98118,(206)252-7630,https://lukees.seattleschools.org/,-122.28490601,47.53073934,Active,
1277433.42011482,258249.080083802,32,Elementary,SACAJAWEA ELEM,9501 20th Ave NE,,Sacajawea,K-5,Seattle,98115,(206)252-5550,http://sacajaweaes.seattleschools.org/,-122.30747272,47.69844854,Active,
1280683.36997972,261536.27987422,33,High School,NATHAN HALE HIGH SCHOOL,10750 30th Ave NE,,Nathan Hale,9-12,Seattle,98125,(206)252-3680,http://halehs.seattleschools.org/,-122.29453073,47.70762861,Active,
1257552.24990347,214250.750101641,34,High School,WEST SEATTLE HIGH SCHOOL,3000 California Ave SW,,West Seattle High,9-12,Seattle,98116,(206)252-8800,http://westseattlehs.seattleschools.org/,-122.38459097,47.57677968,Active,
1260035.42013398,201425.019847631,35,Elementary,HIGH POINT ELEM,6760 34th Ave SW,,West Seattle Elementary,K-5,Seattle,98126,(206)252-9450,http://westseattlees.seattleschools.org/,-122.37349269,47.54176187,Active,
1261801.99993414,197702.000062719,36,Middle School,DENNY MIDDLE SCHOOL,2601 SW Kenyon St,,Denny Int'l,6-8,Seattle,98126,(206)252-9000,http://dennyms.seattleschools.org/,-122.36604153,47.53165396,Active,
1257263.92305231,254261.307547554,37,Elementary,LOYAL HEIGHTS,7735 25th Ave NW,,Loyal Heights,K-5,Seattle,98117,(206)252-6000,http://loyalheightses.seattleschools.org/,-122.38903556,47.68642983,Active,
1280398.17993331,252381.309995219,38,Middle School,ECKSTEIN MIDDLE SCHOOL,3003 NE 75th St,,Eckstein,6-8,Seattle,98115,(206)252-5010,http://ecksteinms.seattleschools.org/,-122.29498266,47.68252011,Active,
1266068.74008831,234555.130096465,40,Elementary,HAY ELEM,201 Garfield St,,Hay,K-5,Seattle,98109,(206)252-2100,http://hayes.seattleschools.org/,-122.35171658,47.63289848,Active,
1256690.24998707,243430.789838552,41,Elementary,LAWTON ELEM,4000 27th Ave W,,Lawton,K-5,Seattle,98199,(206)252-2130,http://lawtones.seattleschools.org/,-122.39047452,47.65671241,Active,
1279943.71988423,255315.149928048,43,Elementary,WEDGWOOD ELEM,2720 NE 85th St,,Wedgwood,K-5,Seattle,98115,(206)252-5670,http://wedgwoodes.seattleschools.org/,-122.29705382,47.69053805,Active,
1263683.15004322,200566.689871386,44,Elementary,SANISLO ELEM,1812 SW Myrtle St,,Sanislo,K-5,Seattle,98106,(206)252-8380,http://sanisloes.seattleschools.org/,-122.35865808,47.53960839,Active,
1274227.25001797,231303.909892887,45,Elementary,LOWELL ELEM,1058 E Mercer St,,Lowell,K-5,Seattle,98102,(206)252-3020,http://lowelles.seattleschools.org/,-122.31837892,47.62442343,Active,
1286494.98007564,194459.620064557,48,High School,RAINIER BEACH HIGH SCHOOL,8815 Seward Park Ave S,,Rainier Beach,9-12,Seattle,98118,(206)252-6350,http://rainierbeachhs.seattleschools.org,-122.26585898,47.52407077,Active,
1270071.22913057,257111.033475384,49,Option Elementary,WILSON-PACIFIC,1700 N 90th St,,Cascadia,K-5,Seattle,98103,(206)252-5914,http://cascadiaes.seattleschools.org/,-122.33727404,47.69493869,Active,
1285252.97009248,194918.319934547,50,Option High School,SOUTH LAKE HIGH SCHOOL,8601 Rainier Ave S,,Sugiyama,9-12,Seattle,98118,(206)252-6600,https://sugiyamahs.seattleschools.org/,-122.27091963,47.52526458,Active,
1284973.4601528,194368.40994513,51,Option Elementary,SOUTH SHORE SCHOOL,4800 S Henderson St,,South Shore K-8,K-8,Seattle,98118,(206)252-7600,http://southshorek8.seattleschools.org/,-122.27200912,47.52374295,Active,
1275356.92984523,209286.139952138,52,Middle School,MERCER MIDDLE SCHOOL,1600 S Columbian Way,,Mercer Int'l,6-8,Seattle,98108,(206)252-8000,http://mercerms.seattleschools.org/,-122.31208319,47.56413274,Active,
1277445.88006364,230213.140092805,53,Middle School,MEANY MIDDLE SCHOOL (EAST),301 21st Ave E,,Meany,6-8,Seattle,98112,(206)413-2100,http://meanyms.seattleschools.org/,-122.30524468,47.62160316,Active,
1273629.49990115,250587.700065389,54,Elementary,JOHN MARSHALL,520 NE Ravenna Blvd,,Viewlands - Interim,K-5,Seattle,98115,(206)252-4400,https://viewlandses.seattleschools.org/,-122.32231535,47.67724814,Interim,
1278419.13008565,225386.440100551,55,Service School,MANN BLDG,2410 E Cherry St,,Nova,9-12,Seattle,98122,(206)252-3500,http://novahs.seattleschools.org/,-122.30092571,47.60842418,Active,
1274760.89986931,217081.839911878,56,Elementary,BEACON HILL ELEM,2025 14th Ave. S,,Beacon Hill Int'l,K-5,Seattle,98144,(206) 252-2700,http://beaconhilles.seattleschools.org/,-122.31510489,47.58546921,Active,
1256120.38006382,212893.61994189,57,Middle School,MADISON MIDDLE SCHOOL,3429 45th Ave SW,,Madison,6-8,Seattle,98116,(206)252-9200,http://madisonms.seattleschools.org/,-122.39027968,47.57298061,Active,
1258460.52991106,205401.000084639,58,Elementary,FAIRMOUNT PARK ELEM,3800 SW Findlay St,,Fairmount Park,K-5,Seattle,98126,(206)252-9300,http://fairmountparkes.seattleschools.org/,-122.38019123,47.5525732,Active,
1284328.1901179,194835.150153384,59,Elementary,DUNLAP ELEM,4525 S Cloverdale St,,Dunlap,K-5,Seattle,98118,(206)252-7000,http://dunlapes.seattleschools.org/,-122.27465565,47.52498919,Active,
1282969.56258582,253341.027892053,60,Option Elementary,New Bldg,7712 40th Ave NE,,Thornton Creek,K-5,Seattle,98115,(206)252-5300,http://thorntoncreekes.seattleschools.org/,-122.28461899,47.68528409,Active,
1280727.73996973,212506.779836297,61,Elementary,JOHN MUIR ELEM,3301 S Horton St,,John Muir,K-5,Seattle,98144,(206)252-7400,http://muires.seattleschools.org/,-122.29057986,47.57324135,Active,
1281478.95008148,206997.380093962,62,Service School,COLUMBIA BLDG/ORCA,3528 S Ferdinand St,,Interagency at Columbia School,9-12,Seattle,98118,(206)743-3930,http://interagency.seattleschools.org/,-122.28711552,47.55817903,Active,
1266864.06986247,242469.889857471,63,Elementary,B F DAY ELEM,3921 Linden Ave N,,B.F. Day,K-5,Seattle,98103,(206)252-6010,http://dayes.seattleschools.org/,-122.34912374,47.65463546,Active,
1260587.37014556,192764.060135469,64,Service School,ROXHILL ELEM,9430 30th Ave SW,,BRIDGES,,Seattle,98126,(206)252-9330,https://www.seattleschools.org/departments/special-education/18-21-transition/bridges/,-122.37055804,47.51805292,Active,
1266782.38990773,236389.049985051,65,Option Elementary,OLD HAY BLDG,2100 4th Ave N,,Queen Anne,K-5,Seattle,98109,(206)252-2480,https://queenannees.seattleschools.org/,-122.34896919,47.63796374,Active,
1284450.63016173,244890.659950301,66,Elementary,LAURELHURST ELEM,4530 46th Ave NE,,Laurelhurst,K-5,Seattle,98105,(206)252-5400,http://laurelhurstes.seattleschools.org/,-122.27796307,47.66219804,Active,
1275970.69994314,250536.4301548,68,High School,ROOSEVELT HIGH SCHOOL,1410 NE 66th St,,Roosevelt,9-12,Seattle,98115,(206)252-4810,http://roosevelths.seattleschools.org/,-122.31280953,47.67723139,Active,
1282564.87999623,234667.019964546,69,Elementary,MCGILVRA ELEM,1617 38th Ave E,,McGilvra,K-5,Seattle,98112,(206)252-3160,http://mcgilvraes.seattleschools.org/,-122.28483179,47.63407775,Active,
1258789.50005364,189752.729872048,70,Elementary,ARBOR HEIGHTS,3701 SW 104th St,,Arbor Heights,K-5,Seattle,98146,(206)252-9250,http://arborheightses.seattleschools.org/,-122.37758781,47.50970036,Active,
1277815.3701383,237148.640001297,71,Elementary,MONTLAKE ELEM,2409 22nd Ave E,,Montlake,K-5,Seattle,98112,(206)252-3300,http://montlakees.seattleschools.org/,-122.3042842,47.64063264,Active,
1280804.68994705,196420.060041294,72,Elementary,AFRICAN AMERICAN ACADEMY,8311 Beacon Ave S,,Rising Star,K-5,Seattle,98118,(206)252-7500,https://risingstares.seattleschools.org/,-122.28903551,47.52915163,Active,
1264019.7799474,209314.779986724,73,Option Elementary,COOPER BLDG,1901 SW Genesee St,,Pathfinder K-8,K-8,Seattle,98106,(206)252-9710,http://pathfinderk8.seattleschools.org/,-122.35799712,47.56360479,Active,
1273062.46002473,243404.19015421,74,Option Elementary,LATONA ELEM,4057 5th Ave NE,,John Stanford Int'l,K-5,Seattle,98105,(206)252-6080,http://stanfordes.seattleschools.org/,-122.32405187,47.65752826,Active,
1279173.76998056,204882.489966795,75,Elementary,DEARBORN PARK ELEM,2820 S Orcas St,,Dearborn Park Int'l,K-5,Seattle,98108,(206)252-6930,http://dearbornes.seattleschools.org/,-122.29628698,47.55226236,Active,
1262888.33995306,203870.059905052,76,Option Elementary,BOREN BLDG,5950 Delridge Way SW,,Boren STEM K-8,K-8,Seattle,98106,(206)252-8450,http://borenstemk8.seattleschools.org/,-122.36214094,47.54861954,Active,
1254417.66004406,238203.119847715,77,Elementary,CATHARINE BLAINE,2550 34th Ave W,,Catharine Blaine K-8,K-8,Seattle,98199,(206)252-1920,http://blainek8.seattleschools.org/,-122.39926243,47.64225736,Active,
1273632.24989565,207127.800108716,78,Elementary,MAPLE ELEM,4925 Corson Ave S,,Maple,K-5,Seattle,98108,(206)252-8310,http://maplees.seattleschools.org/,-122.31889888,47.55812571,Active,
1256041.70010306,237567.69985871,79,Elementary,MAGNOLIA,2418 28th Ave W,,Magnolia,K-5,Seattle,98199,(206)743-3800,https://magnoliaes.seattleschools.org/,-122.39262357,47.64060612,Active,
1270397.75997356,268327.269901127,80,High School,INGRAHAM HIGH SCHOOL,1819 N 135th St,,Ingraham Int'l,9-12,Seattle,98133,(206)252-3880,http://ingrahamhs.seattleschools.org/,-122.33683813,47.72569939,Active,
1269243.30001214,244366.399843961,81,High School,LINCOLN,4400 Interlake Ave N,,Lincoln,9-12,Seattle,98103,(206)413-2500,https://lincolnhs.seattleschools.org/,-122.33962245,47.65996178,Active,
1279085.43551156,199800.332480222,82,Service School,VAN ASSELT ELEM,7201 Beacon Ave S,,Early Learning Center,PK,Seattle,98108,(206)252-9930,https://www.seattleschools.org/departments/early-learning/,-122.29625343,47.53832758,Active,
1276391.74995406,227230.859968141,83,Service School,MINOR ELEM,1700 E Union St,,Seattle World School,6-12,Seattle,98122,(206)252-2200,http://sws.seattleschools.org/,-122.3092864,47.61337342,Active,
1261752.06991589,196600.49012664,84,High School,SEALTH HIGH SCHOOL,2600 SW Thistle St,,Chief Sealth Int'l,9-12,Seattle,98126,(206)252-8550,http://chiefsealthhs.seattleschools.org/,-122.3661548,47.52863205,Active,
1273629.49990115,250587.700065389,85,Service School,JOHN MARSHALL,520 NE Ravenna Blvd,,Cascade PPP - Interim,K-5,Seattle,98115,(206)743-3900,https://cppp.seattleschools.org,-122.32231535,47.67724814,Interim,
1274777.68986198,222820.819903716,87,Elementary,GATZERT ELEM,1301 E Yesler Way,,Bailey Gatzert,K-5,Seattle,98122,(206)252-2810,http://gatzertes.seattleschools.org/,-122.31548472,47.60120053,Active,
1285225.18996431,251621.500163138,88,Elementary,VIEW RIDGE ELEM,7047 50th Ave NE,,View Ridge,K-5,Seattle,98115,(206)252-5600,http://viewridgees.seattleschools.org/,-122.27533217,47.68068711,Active,
1269123.47085547,257101.90947789,89,Middle School,WILSON-PACIFIC,1330 N 90th St,,Robert Eagle Staff,6-8,Seattle,98103,(206)413-2300,http://eaglestaffms.seattleschools.org/,-122.34112109,47.69486284,Active,
1277550.99993214,221583.780054972,90,Middle School,WASHINGTON MIDDLE SCHOOL,2101 S Jackson St,,Washington,6-8,Seattle,98144,(206)252-2600,http://washingtonms.seattleschools.org/,-122.30414977,47.59795569,Active,
1255407.18496789,251103.865043551,91,Option Elementary,WEBSTER,3015 NW 68th St,,Licton Springs K-8,K-8,Seattle,98117,(206)743-3700,https://lictonspringsk8.seattleschools.org/,-122.396312,47.6776724,Active,
1281073.98009089,262373.910088718,92,Middle School,JANE ADDAMS BUILDING,11051 34th Ave NE,,Jane Addams,6-8,Seattle,98125,(206)252-4500,http://addamsms.seattleschools.org/,-122.29300902,47.70994486,Active,
1286987.90986405,185254.06990613,93,Elementary,RAINIER VIEW ELEM,11650 Beacon Ave S,,Rainier View,K-5,Seattle,98178,(206)252-6700,http://rainierviewes.seattleschools.org/,-122.26317206,47.49886332,Active,
1269615.71002847,243307.750058383,94,Middle School,HAMILTON MIDDLE SCHOOL,1610 N 41st St,,Hamilton Int'l,6-8,Seattle,98103,(206)252-5810,http://hamiltonms.seattleschools.org/,-122.33802754,47.65708003,Active,
1261173.49003631,253146.520078972,95,Elementary,WHITTIER ELEM,1320 NW 75th St,,Whittier,K-5,Seattle,98117,(206)252-1650,http://whittieres.seattleschools.org/,-122.37307538,47.68358982,Active,
1259615.91998872,198177.529951558,96,Elementary,HUGHES,7740 34th Ave SW,,Roxhill - Interim,K-5,Seattle,98126,(206)252-9570,http://roxhilles.seattleschools.org/,-122.37492742,47.53283766,Interim,
1279085.43551156,199800.332480222,97,Elementary,VAN ASSELT ELEM,7201 Beacon Ave S,,Kimball - Interim,K-5,Seattle,98108,(206)252-7280,https://kimballes.seattleschools.org/,-122.29625343,47.53832758,Interim,
1278156.77004606,224295.250025719,98,High School,GARFIELD HIGH SCHOOL,400 23rd Ave,,Garfield,9-12,Seattle,98122,(206)252-2270,http://garfieldhs.seattleschools.org/,-122.30190469,47.60541951,Active,
1276868.68010256,233818.910112217,99,Elementary,STEVENS ELEM,1242 18th Ave E,,Stevens,K-5,Seattle,98112,(206)252-3400,http://stevenses.seattleschools.org/,-122.30786488,47.63145623,Active,
1259288.58009222,250523.770075127,101,Option Elementary,MONROE BLDG,1810 NW 65th St,,Salmon Bay K-8,K-8,Seattle,98117,(206)252-1720,http://salmonbayk8.seattleschools.org/,-122.38051208,47.67629741,Active,
1266376.49012898,268016.519866467,102,Elementary,BROADVIEW-THOMSON,13052 Greenwood Ave N,,Broadview-Thomson K-8,K-8,Seattle,98133,(206)252-4080,http://broadviewk8.seattleschools.org/,-122.35314867,47.72463111,Active,
1282665.24987422,202649.160115883,103,Middle School,AKI KUROSE,3928 S Graham St,,Aki Kurose,6-8,Seattle,98118,(206)252-7700,http://kurosems.seattleschools.org/,-122.28198038,47.54632186,Active,
1272105.72998281,264341.990142047,104,Elementary,NORTHGATE ELEM,11725 1st Ave NE,,Northgate,K-5,Seattle,98125,(206)252-4180,http://northgatees.seattleschools.org/,-122.32958505,47.71486716,Active,
1256318.79010005,200948.509973884,106,Elementary,GATEWOOD ELEM,4320 SW Myrtle St,,Gatewood,K-5,Seattle,98136,(206)252-9400,http://gatewoodes.seattleschools.org/,-122.38849822,47.54025089,Active,
1260675.93985032,250610.249889046,109,High School,BALLARD HIGH SCHOOL,1418 NW 65th St,,Ballard,9-12,Seattle,98117,(206)252-1000,http://ballardhs.seattleschools.org/,-122.37488867,47.67661077,Active,
1282452.70010248,209797.739978805,110,Elementary,HAWTHORNE ELEM,4100 39th Ave S,,Hawthorne,K-5,Seattle,98118,(206)252-7210,http://hawthornees.seattleschools.org/,-122.28338622,47.56590518,Active,
1264312.7301489,236022.869943127,111,Middle School,MCCLURE MIDDLE SCHOOL,1915 1st Ave W,,McClure,6-8,Seattle,98119,(206)252-1900,http://mcclurems.seattleschools.org/,-122.35895523,47.63682628,Active,
1278563.94016348,219011.67004171,112,Elementary,COLMAN SITE,2401 S Irving St,,Thurgood Marshall,K-5,Seattle,98144,(206)252-2800,http://marshalles.seattleschools.org/,-122.29984633,47.59095855,Active,
1256557.70005532,249606.479914963,113,Elementary,ADAMS ELEM,6110 28th Ave NW,,Adams,K-5,Seattle,98107,(206)252-1300,http://adamses.seattleschools.org/,-122.3915196,47.67363215,Active,
1281008.30010414,248473.999896467,114,Elementary,BRYANT ELEM,3311 NE 60th St,,Bryant,K-5,Seattle,98115,(206)252-5200,http://bryantes.seattleschools.org/,-122.29220552,47.67184194,Active,
1280622.75986473,223038.450045884,115,Elementary,LESCHI ELEM,135 32nd Ave,,Leschi,K-5,Seattle,98122,(206)252-2950,http://leschies.seattleschools.org/,-122.29181363,47.60210319,Active,
1272511.8098793,247335.869954884,116,Option Elementary,MCDONALD BLDG,144 NE 54th St,,McDonald Int'l,K-5,Seattle,98105,206-743-3800,http://mcdonaldes.seattleschools.org/,-122.32659539,47.66827561,Active,
1271958.49996231,194568.02995272,117,Elementary,CONCORD ELEM,723 S Concord St.,,Concord Int'l,K-5,Seattle,98108,(206) 252-8100,http://concordes.seattleschools.org/,-122.32469058,47.5236109,Active,
1283118.24010998,261416.439890802,118,Elementary,JOHN ROGERS ELEM,4030 NE 109th St,,John Rogers,K-5,Seattle,98125,(206)252-4320,http://rogerses.seattleschools.org/,-122.28463373,47.70742644,Active,
